"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1FNEbCXAXweJOBLrtOFNsL","Lost Without You (Defqon.1 2023 Closing Theme)","spotify:artist:6C0KWmCdqrLU2LzzWBPbOy, spotify:artist:2CREMC4YATn7Bx9ZQku6IH, spotify:artist:2DTw633fgdoxrqv7uPdcCw","Headhunterz, Vertile, Sian Evans","spotify:album:43KEFFfgdiQnh3m1luX5gR","Lost Without You (Defqon.1 2023 Closing Theme)","spotify:artist:6C0KWmCdqrLU2LzzWBPbOy, spotify:artist:2CREMC4YATn7Bx9ZQku6IH","Headhunterz, Vertile","2023-08-18","https://i.scdn.co/image/ab67616d0000b273e5f5010d0ce83ee0a1e21542","1","1","289548","https://p.scdn.co/mp3-preview/f3934b24223f6302ffe5fd6e3ea3c5fa3f23e750?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","NLH2L2300206","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2023-08-26T17:17:53Z"
"spotify:track:2FpWhUMOPGUVR95DkfKjGH","Cold","spotify:artist:3z97WMRi731dCvKklIf2X6","NEFFEX","spotify:album:7HGuHTDDziqPeZM1tHTFRV","Cold","spotify:artist:3z97WMRi731dCvKklIf2X6","NEFFEX","2018-04-11","https://i.scdn.co/image/ab67616d0000b273769c3af249af8b4eeb22b249","1","1","186240","https://p.scdn.co/mp3-preview/86ecb36c3f88fbb1e204b0a8646cd60029dd6e52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","TCADO1880366","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2023-08-30T03:04:10Z"
"spotify:track:21sAoHaRN1A177y7ElQANd","Crash This Party","spotify:artist:47z7ZrgFoBvVpCnElCE3Zh, spotify:artist:7EY3xvBhvVnAGIN4hyGIUk","Yellow Claw, Tabitha Nauser","spotify:album:1mYDKw3w4jPWautkQEs56K","New Blood","spotify:artist:47z7ZrgFoBvVpCnElCE3Zh","Yellow Claw","2018-06-22","https://i.scdn.co/image/ab67616d0000b273a3e997a2838c360027b6c587","1","5","149355","https://p.scdn.co/mp3-preview/5e7069e945819c5a34ba731fc879f36f71f0a08a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USA2P1828627","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2023-08-30T03:04:20Z"
"spotify:track:5kgqTe1BM720OjU78TGYDw","Tell Me You Love Me","spotify:artist:4sTQVOfp9vEMCemLw50sbu, spotify:artist:6mPZJXtFVaakznkRxdgWtC","Galantis, Throttle","spotify:album:7DNmxxEuJe19wNVrinaXx4","The Aviary","spotify:artist:4sTQVOfp9vEMCemLw50sbu","Galantis","2017-09-15","https://i.scdn.co/image/ab67616d0000b27371340c55289f59acb3ecd40f","1","5","190400","https://p.scdn.co/mp3-preview/ba6d01be3248256b16ae45872e13019e74a09b31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USAT21703587","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2023-08-30T03:04:49Z"
"spotify:track:556awMv4WQP0h1VXMU8rSU","Eyes Wide Shut","spotify:artist:45eNHdiiabvmbp4erw26rg, spotify:artist:0p4nmQO2msCgU4IF37Wi3j, spotify:artist:4exLIFE8sISLr28sqG1qNX","ILLENIUM, Avril Lavigne, Travis Barker","spotify:album:0ValflNlWce21wm5PlwV60","ILLENIUM","spotify:artist:45eNHdiiabvmbp4erw26rg","ILLENIUM","2023-04-28","https://i.scdn.co/image/ab67616d0000b273b1509e7e6067890add82b2ca","1","6","152331","https://p.scdn.co/mp3-preview/84ccd879caf53370f9d765984a6adb04527a9660?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USWB12207321","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2023-09-05T10:54:57Z"
"spotify:track:6cLrGfKIIRHYQw7S0mCDhA","All That Really Matters","spotify:artist:45eNHdiiabvmbp4erw26rg, spotify:artist:33qOK5uJ8AR2xuQQAhHump","ILLENIUM, Teddy Swims","spotify:album:0ValflNlWce21wm5PlwV60","ILLENIUM","spotify:artist:45eNHdiiabvmbp4erw26rg","ILLENIUM","2023-04-28","https://i.scdn.co/image/ab67616d0000b273b1509e7e6067890add82b2ca","1","2","244235","https://p.scdn.co/mp3-preview/f2c1816226a9535cb419723efde45219d01a2fad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USWB12202265","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2023-09-05T10:55:04Z"
"spotify:track:5lXNcc8QeM9KpAWNHAL0iS","Look at the Sky","spotify:artist:3dz0NnIZhtKKeXZxLOxCam","Porter Robinson","spotify:album:4Hjqdhj5rh816i1dfcUEaM","Nurture","spotify:artist:3dz0NnIZhtKKeXZxLOxCam","Porter Robinson","2021-04-23","https://i.scdn.co/image/ab67616d0000b2737d6ac8b4a84ad4b342050d87","1","2","309985","https://p.scdn.co/mp3-preview/6098cb45f301bcfa292daf422e786ecc7460f81d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USQE92000004","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2023-09-07T10:56:16Z"
"spotify:track:5OsKqfRR6OuGGaMcKPG1ti","Hear The Bells","spotify:artist:3dz0NnIZhtKKeXZxLOxCam, spotify:artist:5NLkpkDVhCW6tTuLxVTYEx","Porter Robinson, Imaginary Cities","spotify:album:7AJPV0L05IyIBid97AvwVD","Worlds","spotify:artist:3dz0NnIZhtKKeXZxLOxCam","Porter Robinson","2014-08-12","https://i.scdn.co/image/ab67616d0000b2731f675e7b8bae408653346dd9","1","7","286880","https://p.scdn.co/mp3-preview/e8d6cc6c5bc886ac84115cfc4b654f53d634fb1b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USUG11400554","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2023-09-07T10:57:05Z"
"spotify:track:6BivCuyKJtgLa9ooFsvUoZ","Flicker","spotify:artist:3dz0NnIZhtKKeXZxLOxCam","Porter Robinson","spotify:album:7AJPV0L05IyIBid97AvwVD","Worlds","spotify:artist:3dz0NnIZhtKKeXZxLOxCam","Porter Robinson","2014-08-12","https://i.scdn.co/image/ab67616d0000b2731f675e7b8bae408653346dd9","1","4","279000","https://p.scdn.co/mp3-preview/0059a72796cc3a244d22e72df6621e93c0ed23bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USUG11400347","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2023-09-07T11:06:05Z"
"spotify:track:1WbQ96o7shECYjvEsRhvUV","Boom Boom Boom","spotify:artist:1CqOLQmjzVWXQTiIN5Wucs, spotify:artist:37jL2LnGjAkadOCszr8v7C, spotify:artist:3mZnhzeAyjpFhO3cIepzBr","TNT, Technoboy, Tuneboy","spotify:album:33WtsR6WXWcs4XlHojn8K8","Boom Boom Boom","spotify:artist:1CqOLQmjzVWXQTiIN5Wucs, spotify:artist:37jL2LnGjAkadOCszr8v7C, spotify:artist:3mZnhzeAyjpFhO3cIepzBr","TNT, Technoboy, Tuneboy","2023-03-09","https://i.scdn.co/image/ab67616d0000b273f23134da666962bd50964820","1","1","196576","https://p.scdn.co/mp3-preview/00deaf4126f98929c8b850d89b1849e0a1e98020?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","ITC942300782","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2023-09-12T00:39:27Z"
